rawSize, refinedSize, refineTime, roiSize, roiTime, contextSize, contextTime, totalRuntime
70445, 64730, 8.948000, 31974, 13.244000, 12491, 27.167000, 27.167000
71134, 65493, 9.001000, 36989, 11.713000, 17809, 28.624000, 28.625000
69857, 63891, 8.534000, 28002, 10.862000, 19763, 23.928000, 23.929000
71160, 65470, 10.786000, 35019, 13.942000, 23576, 30.215000, 30.215000
70789, 65106, 9.325000, 32447, 11.852000, 24730, 27.353000, 27.353000
70540, 65502, 10.861000, 30417, 14.020000, 23576, 35.300000, 35.301000
71140, 65611, 8.010000, 34766, 11.651000, 26979, 29.157000, 29.157000
70848, 65473, 7.172000, 32305, 10.995000, 11129, 25.719000, 25.720000
70845, 65685, 8.581000, 32232, 12.040000, 25661, 29.511000, 29.512000
71044, 65583, 9.196000, 34172, 12.239000, 26643, 28.438000, 28.439000
69967, 64331, 7.095000, 27950, 12.016000, 23510, 26.201000, 26.201000
71103, 66424, 7.037000, 16107, 10.923000, 12035, 19.001000, 19.002000
70735, 65347, 9.227000, 32159, 12.630000, 25354, 28.232000, 28.232000
69707, 65492, 8.753000, 13617, 11.242000, 4120, 17.277000, 17.278000
70494, 64955, 6.871000, 30108, 9.725000, 24069, 24.909000, 24.910000
71166, 65947, 8.770000, 35390, 13.540000, 29026, 3760.008000, 3760.008000
70355, 64684, 4.838000, 30210, 8.200000, 23525, 2748.800000, 2748.801000
67974, 63061, 7.164000, 18165, 10.850000, 626, 19.808000, 19.808000
70935, 65599, 8.620000, 34269, 12.196000, 27972, 3524.142000, 3524.142000
70825, 66236, 8.921000, 21600, 12.245000, 11791, 1520.791000, 1520.792000
70696, 65445, 8.756000, 28059, 11.852000, 20839, 2452.370000, 2452.371000
71044, 65535, 8.970000, 29505, 12.170000, 23222, 2662.063000, 2662.064000
71151, 65196, 9.280000, 25742, 11.699000, 21777, 51.823000, 51.824000
71000, 65591, 7.760000, 29511, 11.668000, 26657, 58.051000, 58.051000
68458, 63718, 4.507000, 19294, 6.833000, 17293, 36.804000, 36.804000
70875, 65575, 8.481000, 27730, 12.024000, 22540, 55.831000, 55.832000
69794, 66138, 8.600000, 16358, 11.188000, 13659, 36.515000, 36.516000
68103, 62714, 8.503000, 20388, 12.017000, 18598, 44.474000, 44.475000
70883, 66837, 8.351000, 16256, 10.897000, 13481, 35.739000, 35.740000
70989, 66949, 8.821000, 37101, 12.971000, 21318, 158.573000, 158.573000
70931, 66456, 8.779000, 37696, 12.270000, 31026, 4331.007000, 4331.008000
70861, 60003, 7.635000, 36201, 11.034000, 27585, 3916.002000, 3916.003000
70958, 70828, 4.530000, 26329, 7.112000, 20897, 2196.648000, 2196.649000
70916, 70907, 9.004000, 24911, 13.510000, 19584, 1951.419000, 1951.419000
70945, 50416, 9.382000, 32830, 11.360000, 20529, 3235.432000, 3235.433000
70874, 60187, 8.732000, 37041, 12.008000, 28479, 4114.503000, 4114.504000
70965, 62492, 10.318000, 37701, 14.703000, 29495, 4281.573000, 4281.573000
70835, 60994, 9.102000, 27813, 11.402000, 20148, 2470.393000, 2470.393000
69814, 60121, 9.685000, 24570, 14.037000, 17223, 1914.806000, 1914.807000
70179, 60337, 8.777000, 24521, 11.349000, 17147, 1910.613000, 1910.614000
70735, 60474, 9.120000, 25470, 11.967000, 14076, 2043.477000, 2043.477000
70817, 61319, 7.961000, 28683, 11.295000, 20959, 2598.552000, 2598.553000
70286, 60205, 8.263000, 23943, 11.711000, 12506, 1836.368000, 1836.369000
70924, 61353, 7.230000, 24849, 11.991000, 14761, 1982.689000, 1982.689000
70015, 60292, 4.527000, 24340, 7.017000, 17312, 1885.045000, 1885.046000
69947, 60003, 8.631000, 24733, 11.112000, 10854, 42.661000, 42.661000
70033, 59998, 8.419000, 22175, 10.473000, 11812, 1542.139000, 1542.139000
59745, 59745, 9.525000, 23312, 14.185000, 16194, 1672.996000, 1672.997000
59240, 59240, 8.536000, 22038, 11.923000, 11721, 1571.915000, 1571.915000
59006, 59006, 8.542000, 21100, 10.974000, 10719, 1407.118000, 1407.119000
60048, 60048, 7.884000, 29000, 11.663000, 21322, 2575.803000, 2575.803000
59411, 59411, 8.695000, 23805, 12.633000, 16164, 1768.317000, 1768.317000
